operator,origin_airport,destination_airport,airline,flight_number,aircraft_type,origin_time,origin_day_difference,destination_time,destination_day_difference,calendar,is_valid_from,is_valid_to,note_ja,date
,HND,CTS,SKY,717,,14:05,,15:40,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,CTS,SKY,719,,14:35,,16:10,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,CTS,SKY,723,,16:55,,18:30,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,CTS,SKY,727,,18:25,,20:00,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,CTS,SKY,729,,20:30,,22:05,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,HND,SKY,706,,08:15,,09:55,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,HND,SKY,710,,10:40,,12:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,HND,SKY,712,,11:40,,13:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,HND,SKY,714,,13:15,,14:55,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,HND,SKY,716,,14:40,,16:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,HND,SKY,718,,15:10,,16:50,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,HND,SKY,720,,16:15,,17:50,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,HND,SKY,726,,19:10,,20:50,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,HND,SKY,730,,21:00,,22:40,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,UKB,SKY,101,,07:20,,08:35,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,UKB,SKY,103,,09:05,,10:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,UKB,SKY,105,,13:00,,14:15,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,UKB,SKY,109,,15:35,,16:50,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,UKB,SKY,113,,17:55,,19:10,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,UKB,SKY,117,,20:05,,21:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,UKB,HND,SKY,100,,07:10,,08:30,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,UKB,HND,SKY,102,,09:20,,10:25,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,UKB,HND,SKY,106,,10:55,,12:10,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,UKB,HND,SKY,108,,13:00,,14:15,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,UKB,HND,SKY,112,,16:20,,17:35,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,UKB,HND,SKY,116,,19:10,,20:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,FUK,SKY,001,,06:20,,08:15,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,FUK,SKY,003,,07:35,,09:35,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,FUK,SKY,007,,09:35,,11:30,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,FUK,SKY,009,,11:15,,13:10,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,FUK,SKY,011,,11:45,,13:40,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
