"operator","origin_airport","destination_airport","airline","flight_number","aircraft_type","origin_time","origin_day_difference","destination_time","destination_day_difference","calendar","is_valid_from","is_valid_to","note_ja","date"
"ANA","HND","FUK","ANA","NH1441","32P","08:15",,"10:00",,"　　　　木　　","2022-08-07T00:00:00+09:00","2022-08-13T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1441","32P","08:15",,"10:00",,"　　　　　　土","2022-08-01T00:00:00+09:00","2022-08-06T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1441","32P","08:15",,"10:00",,"　　　　　　土","2022-08-21T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH243/TG6013","789","08:30",,"10:15",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH243/TG6013","789","08:30",,"10:20",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH245","788","09:00",,"10:45",,"　月火　　　　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH245","788/763","09:00",,"10:45",,"日　　水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH245","788/763","09:00",,"10:50",,"　　火　　　　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH245","788/772","09:00",,"10:50",,"日月　　木金　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH245","788","09:00",,"10:50",,"　　　水　　土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL309","738","09:05",,"11:00",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","HND","FUK","SFJ","7G043/NH3843","32F","09:15",,"11:10",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL311","788","09:20",,"11:15",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
